"","RNA","ATAC"
"1031","Hscb",NA
"1032","Trmt12",NA
"1033","Rapgef6",NA
"1034","Fzd5",NA
"1035","Trem3",NA
"1036","C2cd2l",NA
"1037","Cep76",NA
"1038","Gm867",NA
"1039","Neu3",NA
"1040","Maf1",NA
"1041","Gm26588",NA
"1042","Ifi204",NA
"1043","Safb",NA
"1044","H2ac13",NA
"1045","Ly6c2",NA
"1046","Golgb1",NA
"1047","Kdm4a",NA
"1048","Rab18",NA
"1049","Ankfy1",NA
"1050","Snora81",NA
"1051","Sirpa",NA
"1052","D630044L22Rik",NA
"1053","Tmx1",NA
"1054","Secisbp2l",NA
"1055","Tnk1",NA
"1056","H2bc21",NA
"1057","Emsy",NA
"1058","Kifc1",NA
"1059","Epn1",NA
"1060","Sppl3",NA
"1061","Pilra",NA
"1062","Ctsh",NA
"1063","Ppil4",NA
"1064","Vmp1",NA
"1065","Srcap",NA
"1066","B430306N03Rik",NA
"1067","Laptm4a",NA
"1068","Abca7",NA
"1069","Ankrd28",NA
"1070","Zranb1",NA
